X,Y,Z,azimuth,dip,polarity,formation
371013.9,408855.0,-285.7018585205078,145,10,1,B2
371013.9,408855.0,-842.7018585205078,145,10,1,M2
370818.7,409125.4,-19.828460693359375,145,10,1,B1
370818.7,409125.4,-91.82846069335938,145,10,1,M1
370818.7,409125.4,-264.8284606933594,145,10,1,B2
370818.7,409125.4,-562.8284606933594,145,10,1,M2
370617.2,409486.5,-49.992881774902344,145,10,1,M1
370617.2,409486.5,-213.99288177490234,145,10,1,B2
370617.2,409486.5,-463.99288177490234,145,10,1,M2
370617.2,409486.5,-597.9928817749023,145,10,1,B3
370617.2,409486.5,-1133.9928817749023,145,10,1,M3
370410.9,408981.9,-111.9571647644043,145,10,1,M1
370410.9,408981.9,-254.9571647644043,145,10,1,B2
370410.9,408981.9,-572.9571647644043,145,10,1,M2
370410.9,408981.9,-895.9571647644043,145,10,1,B3
370410.9,408981.9,-1011.9571647644043,145,10,1,M3
370516.0,409048.9,-118.58810043334961,145,10,1,M1
370516.0,409048.9,-221.5881004333496,145,10,1,B2
370516.0,409048.9,-604.5881004333496,145,10,1,M2
370516.0,409048.9,-776.5881004333496,145,10,1,B3
370516.0,409048.9,-846.5881004333496,145,10,1,M3
370707.5,409699.1,-23.095924377441406,145,10,1,M1
370707.5,409699.1,-111.0959243774414,145,10,1,B2
370707.5,409699.1,-645.0959243774414,145,10,1,M2
370707.5,409699.1,-765.0959243774414,145,10,1,B3
370707.5,409699.1,-1145.0959243774414,145,10,1,M3
370752.5,408372.8,-170.77745056152344,145,10,1,B1
370752.5,408372.8,-246.77745056152344,145,10,1,M1
370752.5,408372.8,-526.7774505615234,145,10,1,B2
370752.5,408372.8,-756.7774505615234,145,10,1,M2
370752.5,408372.8,-1092.7774505615234,145,10,1,B3
370752.5,408372.8,-1308.7774505615234,145,10,1,M3
370471.3,408843.2,-133.87168884277344,145,10,1,M1
370471.3,408843.2,-257.87168884277344,145,10,1,B2
370471.3,408843.2,-661.8716888427734,145,10,1,M2
370471.3,408843.2,-989.8716888427734,145,10,1,B3
370471.3,408843.2,-1215.8716888427734,145,10,1,M3
370687.8,409312.8,-63.219573974609375,145,10,1,M1
370687.8,409312.8,-245.21957397460938,145,10,1,B2
370687.8,409312.8,-561.2195739746094,145,10,1,M2
370687.8,409312.8,-649.2195739746094,145,10,1,B3
370687.8,409312.8,-1407.2195739746094,145,10,1,M3
371110.1,408607.7,-43.863494873046875,145,10,1,unknown
371110.1,408607.7,-443.8634948730469,145,10,1,B1
371110.1,408607.7,-679.8634948730469,145,10,1,M1
371110.1,408607.7,-765.8634948730469,145,10,1,B2
371110.1,408607.7,-1025.8634948730469,145,10,1,M2
371110.1,408607.7,-1154.8634948730469,145,10,1,B3
370889.3,408278.9,-44.481971740722656,145,10,1,unknown
370889.3,408278.9,-454.48197174072266,145,10,1,B1
370889.3,408278.9,-678.4819717407227,145,10,1,M1
370889.3,408278.9,-1006.4819717407227,145,10,1,B2
370544.8,409742.8,-153.72896194458008,145,10,1,B1
370544.8,409742.8,-449.7289619445801,145,10,1,M1
370544.8,409742.8,-680.7289619445801,145,10,1,B2
370544.8,409742.8,-875.7289619445801,145,10,1,M2
370544.8,409742.8,-1095.72896194458,145,10,1,B3
370544.8,409742.8,-1341.72896194458,145,10,1,M3
371030.2,408467.1,-52.26594543457031,145,10,1,unknown
371030.2,408467.1,-282.2659454345703,145,10,1,B1
371030.2,408467.1,-387.2659454345703,145,10,1,M1
371030.2,408467.1,-469.2659454345703,145,10,1,B2
371080.8,408557.6,-536.6308670043945,145,10,1,B1
371080.8,408557.6,-813.6308670043945,145,10,1,M1
371080.8,408557.6,-898.6308670043945,145,10,1,B2
371080.8,408557.6,-1035.6308670043945,145,10,1,M2
371080.8,408557.6,-1193.6308670043945,145,10,1,B3
371080.8,408557.6,-1606.6308670043945,145,10,1,M3
371066.9,408726.7,-65.98146057128906,145,10,1,B1
371066.9,408726.7,-222.98146057128906,145,10,1,M1
371066.9,408726.7,-456.98146057128906,145,10,1,B2
371066.9,408726.7,-751.9814605712891,145,10,1,M2
371066.9,408726.7,-1412.981460571289,145,10,1,B3
370998.2,408412.7,4.276390075683594,145,10,1,unknown
370998.2,408412.7,-414.7236099243164,145,10,1,B1
370998.2,408412.7,-528.7236099243164,145,10,1,M1
370998.2,408412.7,-572.7236099243164,145,10,1,B2
